forum_uid,Opinion(1/0),Question(1/0),Answer(1/0),Sentiment(1-7),Urgency(1-7),CourseType,course_display_name,post_type,up_count,reads,WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP,confusion
0,0,0,0,7,2.5,Medicine,MedStats,CommentThread,191,4923,110,86.58,91.35,17.76,99,36.67,28.18,83.64,49.09,14.55,7.27,0.91,2.73,3.64,0,0,7.27,8.18,15.45,7.27,1.82,3.64,1.82,17.27,2.73,1.82,0,2.73,4.55,6.36,6.36,0,0,0,0,14.55,0,0,0,0,19.09,4.55,2.73,1.82,8.18,1.82,4.55,2.73,2.73,0,0,0,0,0,0,0,8.18,3.64,3.64,0.91,0,0,1.82,10,3.64,7.27,1.82,3.64,2.73,4.55,0,1.82,0.91,0,0,0,0,0,0,0,0,40.91,5.45,3.64,0.91,0,0,2.73,1.82,3.64,4.55,7.27,10.91,0
0,0,0,0,5.5,3,Medicine,MedStats,Comment,0,114,19,98.71,85.38,81.22,97.58,9.5,15.79,84.21,57.89,15.79,15.79,5.26,0,5.26,0,5.26,0,21.05,15.79,5.26,5.26,0,0,15.79,5.26,0,0,0,5.26,5.26,5.26,0,0,0,0,10.53,0,0,0,0,5.26,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,15.79,0,21.05,5.26,10.53,5.26,5.26,0,0,0,0,0,0,0,0,0,0,0,26.32,5.26,0,0,0,0,5.26,10.53,0,5.26,0,0,1
0,0,0,1,4,4.5,Medicine,MedStats,Comment,1,432,70,40.59,38.74,1.94,25.77,17.5,32.86,78.57,51.43,8.57,1.43,0,0,0,0,1.43,7.14,2.86,12.86,12.86,7.14,7.14,4.29,14.29,5.71,2.86,0,1.43,1.43,5.71,2.86,2.86,0,0,1.43,5.71,0,0,0,0,17.14,4.29,2.86,2.86,2.86,1.43,4.29,1.43,1.43,0,0,0,0,0,0,0,2.86,0,1.43,0,0,1.43,4.29,11.43,0,2.86,0,1.43,1.43,5.71,0,1.43,0,0,0,0,0,0,0,0,0,24.29,4.29,4.29,0,0,0,1.43,2.86,2.86,2.86,2.86,2.86,0
0,1,0,1,4,1.5,Medicine,MedStats,Comment,2,142,13,97.95,93.79,94.81,99,6.5,7.69,100,53.85,15.38,7.69,0,0,0,0,7.69,7.69,15.38,15.38,7.69,0,0,0,7.69,0,0,0,7.69,0,7.69,7.69,0,0,0,0,15.38,7.69,0,7.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.38,0,7.69,7.69,0,0,0,7.69,0,30.77,0,7.69,23.08,0,0,0,0,0,0,15.38,0,7.69,7.69,0,0,15.38,0,7.69,0,0,0,7.69,0,0,0,0,0,0
0,1,0,1,4,3.5,Medicine,MedStats,Comment,3,143,33,57.84,72.77,93.94,99,16.5,21.21,90.91,48.48,12.12,9.09,0,6.06,3.03,0,0,3.03,3.03,15.15,6.06,9.09,6.06,3.03,12.12,12.12,0,0,3.03,6.06,9.09,9.09,0,0,0,0,9.09,0,0,0,0,27.27,12.12,0,3.03,3.03,0,9.09,6.06,6.06,0,6.06,0,0,0,0,0,6.06,6.06,0,0,0,0,3.03,3.03,0,12.12,0,12.12,0,0,0,0,0,0,0,3.03,0,0,3.03,0,0,36.36,9.09,12.12,0,0,0,0,0,6.06,3.03,0,6.06,0
0,0,0,1,4,1.5,Medicine,MedStats,Comment,0,88,45,75.9,58.78,43.37,67.75,22.5,31.11,88.89,51.11,6.67,4.44,0,2.22,2.22,0,0,2.22,6.67,15.56,13.33,6.67,4.44,2.22,17.78,8.89,4.44,0,0,4.44,11.11,6.67,4.44,2.22,0,0,4.44,0,0,0,0,28.89,8.89,2.22,2.22,6.67,4.44,4.44,0,0,0,0,0,0,0,0,0,8.89,2.22,2.22,2.22,2.22,4.44,0,8.89,4.44,8.89,2.22,4.44,2.22,2.22,0,0,0,0,0,0,0,0,0,0,0,13.33,4.44,8.89,0,0,0,0,0,0,0,0,0,1
0,0,0,1,4,1.5,Medicine,MedStats,Comment,0,95,11,98.34,81.84,99,25.77,11,9.09,63.64,27.27,0,0,0,0,0,0,0,0,9.09,9.09,9.09,0,0,0,9.09,9.09,0,0,27.27,0,0,0,0,0,0,0,9.09,0,9.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.09,0,36.36,0,0,36.36,0,0,0,0,0,0,0,0,0,0,0,0,27.27,9.09,9.09,0,0,0,0,0,0,0,0,9.09,1
0,0,0,1,4,1.5,Medicine,MedStats,Comment,0,92,22,57.84,99,2.4,99,22,13.64,90.91,54.55,13.64,13.64,0,0,13.64,0,0,0,0,22.73,9.09,4.55,13.64,0,13.64,13.64,9.09,0,4.55,0,9.09,9.09,0,0,0,0,18.18,0,0,0,0,18.18,0,0,9.09,0,4.55,4.55,0,0,0,0,0,0,0,0,0,13.64,4.55,9.09,0,0,0,0,13.64,4.55,13.64,0,4.55,9.09,4.55,0,0,0,0,0,0,0,0,0,0,0,9.09,4.55,4.55,0,0,0,0,0,0,0,0,0,1
0,1,0,0,4,2.5,Medicine,MedStats,Comment,2,119,21,18.82,7.67,2.82,25.77,21,28.57,76.19,47.62,4.76,0,0,0,0,0,0,4.76,4.76,4.76,14.29,4.76,14.29,4.76,9.52,0,0,0,0,9.52,9.52,4.76,4.76,4.76,0,0,0,0,0,0,0,19.05,0,0,4.76,4.76,0,9.52,0,0,0,0,0,0,0,0,0,4.76,0,0,0,0,4.76,0,14.29,0,4.76,0,0,4.76,0,0,0,0,0,0,0,0,0,0,0,0,14.29,4.76,0,0,0,0,0,9.52,0,0,0,0,0
0,0,0,1,4.5,1.5,Medicine,MedStats,Comment,3,165,62,32.21,68.57,13.99,99,15.5,17.74,85.48,56.45,12.9,6.45,0,1.61,3.23,0,1.61,6.45,8.06,11.29,9.68,11.29,11.29,1.61,19.35,4.84,3.23,3.23,4.84,4.84,8.06,8.06,0,0,0,0,8.06,0,0,0,0,30.65,9.68,3.23,6.45,6.45,4.84,6.45,3.23,3.23,0,1.61,0,0,0,0,0,3.23,3.23,0,0,0,0,0,9.68,3.23,4.84,1.61,3.23,0,0,0,0,0,0,0,0,0,0,0,0,0,17.74,4.84,4.84,0,0,0,1.61,0,3.23,0,0,3.23,0
0,1,0,1,4,2.5,Medicine,MedStats,Comment,0,108,14,68.29,76.25,52.86,25.77,14,7.14,100,42.86,14.29,0,0,0,0,0,0,14.29,14.29,0,7.14,0,7.14,0,14.29,7.14,7.14,0,7.14,21.43,0,0,0,0,0,0,14.29,0,0,0,0,21.43,14.29,0,0,7.14,0,7.14,0,0,0,0,7.14,0,7.14,0,7.14,14.29,14.29,0,0,0,0,0,14.29,0,0,0,0,0,0,0,0,0,0,0,7.14,0,0,7.14,0,0,28.57,7.14,7.14,0,0,0,0,14.29,0,0,0,0,0
0,0,0,1,5,1.5,Medicine,MedStats,Comment,2,120,78,90.53,77.92,3.7,99,19.5,21.79,85.9,44.87,5.13,3.85,0,3.85,0,0,0,1.28,8.97,14.1,5.13,5.13,8.97,1.28,11.54,8.97,2.56,0,3.85,5.13,11.54,8.97,2.56,0,0,1.28,6.41,0,0,0,0,12.82,2.56,2.56,2.56,3.85,1.28,1.28,0,0,0,0,0,0,0,0,0,6.41,3.85,1.28,1.28,0,0,2.56,6.41,2.56,8.97,1.28,6.41,1.28,8.97,0,5.13,0,0,0,0,0,0,0,0,0,10.26,5.13,1.28,0,0,0,0,0,0,1.28,0,2.56,1
